id,smiles,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,num_rings,num_aromatic_rings,qed,formula,sa_score,lipinski_violations,pains_alerts,toxicity_alerts,tpp_pass,notes,source,recipe,first_seen,fitness,docking_score,docking_scores,is_novel,pubchem_cid,chembl_id,chemical_name,retrosynthesis_route_found,retrosynthesis_n_routes
mut_2026-08-27_0009,COc1c(C2CCOC2)cc2c(OC)nc(O)nc2c1Cl,COc1c(C2CCOC2)cc2c(OC)nc(O)nc2c1Cl,310.74,2.51,73.7,1,6,3,3,2,0.939,C14H15ClN2O4,3.56,0,,,True,Conforme au TPP,generated,,2026-08-27,0.761,,,,,,,True,6
legacy_004,COc1cc2c(OC)nc(C)nc2c(O)c1OC1CCOC1,COc1cc2c(OC)nc(C)nc2c(O)c1OC1CCOC1,306.32,1.83,82.93,1,7,4,3,2,0.922,C15H18N2O5,3.24,0,,,True,Conforme au TPP,legacy,,,0.76,,,,,,,True,6
legacy_005,COc1cc2nc(O)nc(OC)c2cc1C1CCOC1,COc1cc2nc(O)nc(OC)c2cc1C1CCOC1,276.29,1.86,73.7,1,6,3,3,2,0.922,C14H16N2O4,3.24,0,,,True,Conforme au TPP,legacy,,,0.76,,,,,,,True,6
mut_2026-08-27_0010,COc1cc2c(OC)ncnc2c(O)c1C1CCOC1,COc1cc2c(OC)ncnc2c(O)c1C1CCOC1,276.29,1.86,73.7,1,6,3,3,2,0.922,C14H16N2O4,3.25,0,,,True,Conforme au TPP,generated,,2026-08-27,0.7595,,,,,,,True,5
mut_2026-08-27_0001,COc1cc2nc(O)nc(OC)c2c(F)c1C1CCOC1,COc1cc2nc(O)nc(OC)c2c(F)c1C1CCOC1,294.28,2.0,73.7,1,6,3,3,2,0.933,C14H15FN2O4,3.53,0,,,True,Conforme au TPP,generated,,2026-08-27,0.7565,,,,,,,True,7
legacy_000,COc1ncnc2cc(C3CCOC3)c(NC3CCOC3)cc12,COc1ncnc2cc(C3CCOC3)c(NC3CCOC3)cc12,315.37,2.34,65.5,1,6,4,4,2,0.934,C17H21N3O3,3.58,0,,,True,Conforme au TPP,legacy,,,0.755,,,,,,,True,5
mut_2026-08-27_0002,COc1cc2c(OC)ncnc2c(O)c1OC1CCOC1,COc1cc2c(OC)ncnc2c(O)c1OC1CCOC1,292.29,1.52,82.93,1,7,4,3,2,0.914,C14H16N2O5,3.18,0,,,True,Conforme au TPP,generated,,2026-08-27,0.755,,,,,,,True,6
legacy_002,COc1ncnc2c(O)c(C3CCOC3)c(OCF)cc12,COc1ncnc2c(O)c(C3CCOC3)c(OCF)cc12,294.28,2.15,73.7,1,6,4,3,2,0.931,C14H15FN2O4,3.54,0,,,True,Conforme au TPP,legacy,,,0.754,,,,,,,True,6
mut_2026-08-27_0009,COc1c(OC2CCOC2)c(O)c2ncnc(OC)c2c1C,COc1c(OC2CCOC2)c(O)c2ncnc(OC)c2c1C,306.32,1.83,82.93,1,7,4,3,2,0.922,C15H18N2O5,3.42,0,,,True,Conforme au TPP,generated,,2026-08-27,0.751,,,,,,,True,6
legacy_007,COc1ncnc2cc(OCF)c(NC3CCOC3)cc12,COc1ncnc2cc(OCF)c(NC3CCOC3)cc12,293.3,2.14,65.5,1,6,5,3,2,0.911,C14H16FN3O3,3.21,0,,,True,Conforme au TPP,legacy,,,0.7505,,,,,,,True,6
